ibi,bpm,sdsd,rmssd,pnn50,pnn20,pnn50pnn20,lf,hf,vlf,flf,Vhf,fvlf,maxSig,minSig,meanSig,sdSig,varSig
875.1411765,68.58545023,358.9357429,143254.948,0.466076696,0.480825959,0.969325153,4.37E-08,2.25E-07,1.36E-08,1.67E-08,2.38E-07,3.87E-09,1.127654951,-0.875260273,2.48E-05,0.239155,0.057195114
941.5628743,63.7564946,386.8991368,164856.6862,0.447447447,0.462462462,0.967532468,3.12E-06,7.87E-06,1.09E-06,4.33E-08,1.24E-07,1.39E-08,1.214498561,-0.915739339,-0.000213284,0.24845146,0.061728128
652.7555556,92.0764044,206.9360475,58990.38361,0.53125,0.59375,0.894736842,2.33E-08,1.59E-06,5.68E-10,8.19E-09,2.42E-07,4.07E-10,1.0204047,-0.768956618,-4.63E-06,0.213776645,0.045700454
790.9039548,75.99314069,323.4136012,155238.4519,0.477272727,0.528409091,0.903225806,1.70E-07,1.38E-06,5.11E-08,3.20E-07,6.38E-07,1.09E-07,1.174337388,-0.880832744,-7.13E-05,0.235981554,0.055687294
786.2711497,76.24894786,311.0607483,103872.273,0.47826087,0.541304348,0.883534137,6.23E-08,1.63E-07,2.20E-08,7.34E-08,2.33E-07,2.49E-08,0.323565398,-0.352172213,-2.81E-05,0.08631078,0.007449551
737.2068966,81.48286372,343.104709,108849.1972,0.411538462,0.469230769,0.87704918,2.44E-08,9.16E-08,7.97E-09,4.87E-08,2.04E-07,1.53E-08,0.307827059,-0.342756406,-2.38E-05,0.07993633,0.006389817
764.7,78.51304783,353.2589891,111244.4658,0.46031746,0.497354497,0.925531915,2.35E-07,8.08E-07,7.01E-08,1.86E-09,3.32E-08,6.53E-11,0.264465142,-0.346879305,-8.36E-05,0.08216805,0.006751588
756.5664336,79.36983485,389.2028825,143986.104,0.459649123,0.505263158,0.909722222,7.72E-11,9.52E-08,9.43E-12,1.67E-08,3.61E-08,5.57E-09,0.302835663,-0.331091973,7.35E-07,0.079581919,0.006333282
799.3267108,75.0605527,277.6651543,94530.95065,0.475663717,0.528761062,0.89958159,1.04E-07,4.30E-07,3.59E-08,4.65E-09,2.68E-08,1.39E-09,0.291495064,-0.34353219,-3.58E-05,0.083891132,0.007037722
765.9711111,78.31039393,368.9647736,96190.45972,0.485523385,0.516703786,0.939655172,9.68E-09,1.34E-07,2.97E-09,1.90E-08,7.92E-08,6.05E-09,0.306564939,-0.345344186,1.06E-05,0.08546244,0.007303829
755.4581498,79.42996634,373.9953017,98900.78481,0.494481236,0.527593819,0.937238494,2.13E-07,6.27E-07,7.11E-08,3.42E-08,1.17E-07,1.11E-08,0.293148454,-0.350205344,5.23E-05,0.085690783,0.00734291
740.4707792,81.00173013,370.4363574,112284.2619,0.442996743,0.508143322,0.871794872,1.73E-08,8.65E-08,5.36E-09,4.59E-08,1.67E-07,1.42E-08,0.258873899,-0.331591044,1.83E-05,0.081374964,0.006621885
739.9800995,81.05553209,431.0754772,124372.9622,0.488778055,0.516209476,0.946859903,1.49E-07,4.35E-07,4.81E-08,6.64E-09,3.34E-08,1.88E-09,0.252851496,-0.329034078,4.67E-05,0.082492453,0.006805005
792.0579345,75.74652194,310.4953595,93168.79797,0.47979798,0.515151515,0.931372549,1.92E-08,1.15E-07,6.63E-09,4.80E-10,2.92E-08,9.94E-12,0.273201154,-0.336240206,1.66E-05,0.084080425,0.007069518
760.3626943,79.03903741,371.5396504,121640.916,0.46875,0.526041667,0.891089109,1.78E-07,3.83E-07,5.56E-08,3.51E-09,7.35E-08,6.42E-10,0.256800948,-0.322096645,7.45E-05,0.081442106,0.006632817
710.3604061,84.53169583,376.6335416,59473.58789,0.525510204,0.540816327,0.971698113,1.25E-07,3.22E-07,4.13E-08,1.92E-08,1.02E-07,5.80E-09,0.240192078,-0.333779585,6.42E-05,0.079480702,0.006317182
794.5886214,75.58878381,492.5408963,61394.03971,0.5,0.5,1,4.47E-07,1.48E-06,1.54E-07,1.59E-09,1.00E-07,6.06E-11,0.348760992,-0.397405812,7.41E-05,0.100395731,0.010079303
810.6329114,74.0187846,483.2436069,103121.8012,0.487288136,0.508474576,0.958333333,5.92E-08,5.83E-07,1.54E-08,2.29E-07,7.50E-07,7.29E-08,0.330924948,-0.408753344,-3.29E-05,0.099465057,0.009893298
804.4388889,74.40241705,485.2561151,100463.1537,0.502793296,0.519553073,0.967741935,4.31E-09,1.70E-07,8.21E-10,1.03E-07,5.05E-07,2.98E-08,0.315349182,-0.396687028,-8.91E-06,0.097932797,0.009590833
669.7430341,89.6021829,187.3884919,61963.4224,0.344720497,0.444099379,0.776223776,6.45E-09,2.10E-07,1.22E-09,2.66E-07,7.20E-07,8.56E-08,0.370610339,-0.388425051,8.53E-06,0.117993425,0.013922448
765.0486258,78.36718498,466.1241469,113248.9223,0.512711864,0.525423729,0.975806452,6.41E-07,2.40E-06,2.25E-07,1.11E-07,4.07E-07,3.78E-08,0.382873981,-0.401235013,8.96E-05,0.094594271,0.008948076
683.2316832,87.86044196,331.932751,132341.0891,0.396825397,0.503968254,0.787401575,9.69E-09,3.31E-07,2.06E-09,7.85E-08,3.47E-07,2.57E-08,0.346286071,-0.440508876,-8.75E-06,0.103472149,0.010706486
748.6921397,80.12825176,428.6553219,121997.7,0.47702407,0.520787746,0.915966387,2.84E-08,1.98E-07,8.99E-09,1.34E-07,4.95E-07,4.41E-08,0.351552482,-0.428979644,-1.86E-05,0.102422947,0.01049046
666.3527697,90.17668339,305.7767863,134509.9828,0.400584795,0.540935673,0.740540541,2.87E-07,1.63E-06,8.51E-08,3.67E-08,3.00E-07,1.06E-08,0.347218127,-0.431542878,7.28E-05,0.099316825,0.009863832
772.9506494,77.6363161,436.630779,101584.542,0.489583333,0.5078125,0.964102564,4.69E-08,4.15E-07,1.42E-08,1.21E-08,1.33E-07,2.94E-09,0.348430287,-0.424501384,2.53E-05,0.102168848,0.010438473
648.7298969,92.49449664,289.2347599,118677.6814,0.386363636,0.5,0.772727273,5.41E-07,2.51E-06,1.81E-07,5.73E-09,3.87E-08,1.76E-09,0.393321972,-0.409180946,-8.68E-05,0.095291171,0.009080407
783.3368984,76.5945311,441.8161116,95986.82172,0.494623656,0.494623656,1,6.20E-08,2.44E-07,1.81E-08,1.88E-08,2.17E-07,4.97E-09,0.297385856,-0.390809921,4.25E-05,0.097248783,0.009457326
774.0994475,77.70085172,395.4677211,71838.18363,0.5,0.505555556,0.989010989,2.16E-07,1.11E-06,6.59E-08,2.35E-07,8.54E-07,7.69E-08,0.344277014,-0.430398014,8.09E-05,0.103173636,0.010644799
877.5786925,68.32697925,288.8392613,182310.1994,0.339805825,0.427184466,0.795454545,1.41E-07,5.31E-07,5.00E-08,1.78E-08,1.50E-07,5.28E-09,0.373479679,-0.326266689,4.23E-05,0.097367115,0.009480355
875.4840183,68.42072526,394.1784269,85927.34364,0.486238532,0.490825688,0.990654206,4.58E-07,1.80E-06,1.44E-07,6.49E-08,2.07E-07,2.00E-08,0.362678763,-0.304472896,0.000101419,0.091064883,0.008292813
912.4654088,65.77009242,448.7361638,171875.5346,0.455696203,0.474683544,0.96,6.22E-07,2.50E-06,1.83E-07,1.81E-07,6.79E-07,5.37E-08,0.39964669,-0.338144626,0.00013522,0.095545739,0.009128988
794.9705882,75.49813559,276.2272059,150204.7891,0.302583026,0.354243542,0.854166667,4.19E-07,1.28E-05,1.24E-07,5.47E-09,4.35E-07,2.68E-10,0.383336782,-0.373233896,-8.79E-05,0.101729337,0.010348858
804.5111111,74.56455786,251.4913541,118687.1698,0.345211581,0.383073497,0.901162791,1.93E-07,7.26E-07,6.90E-08,8.07E-09,1.09E-07,2.17E-09,0.403581712,-0.358313782,4.96E-05,0.094968274,0.009018973
904.4304462,66.32942457,442.6035858,148745.4474,0.468421053,0.471052632,0.994413408,2.40E-10,9.36E-08,1.87E-11,3.76E-08,1.89E-07,1.20E-08,0.387325675,-0.340432775,7.85E-07,0.084542654,0.00714746
917.689008,65.28968662,475.4560157,209422.6523,0.470430108,0.470430108,1,4.79E-08,4.27E-07,1.46E-08,4.53E-08,1.99E-07,1.44E-08,0.322895597,-0.280695093,2.36E-05,0.087382793,0.007635753
934.2459016,64.22467276,466.4043771,196030.4016,0.465020576,0.477366255,0.974137931,6.11E-08,9.73E-07,1.66E-08,2.10E-08,8.74E-08,6.86E-09,0.400539499,-0.329160978,-3.21E-05,0.086500004,0.007482251
