max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
12.78668288,10.45740674,11.27740797,4.44E-05,5.08E-05,5.08E-05,130845,108102,0.113888851,0.090580596,0.00943324,1.41E-10,1.61E-10
11.54361845,8.912850263,9.581952601,6.11E-05,6.11E-05,5.43E-05,80820,83620,0.163082267,0.109556871,0.021676641,4.15E-10,3.69E-10
10.71689974,8.301279629,9.227029706,6.40E-05,4.98E-05,4.27E-05,64104,59506.5,0.098860469,0.083719403,0.00483249,4.56E-10,3.04E-10
9.748073541,8.084771107,8.363044061,3.03E-05,2.75E-05,2.75E-05,192018,214062.5,0.015558391,0.008754192,0.000209374,8.32E-11,7.57E-11
15.09647864,11.45693499,12.35112276,2.59E-05,3.11E-05,3.11E-05,92789,99771.5,0.158489052,0.118763459,0.03441843,1.34E-10,1.61E-10
17.89500575,12.16033806,13.40078121,2.74E-05,4.80E-05,4.11E-05,51299,44076,0.217064067,0.130508135,0.057313746,1.88E-10,2.82E-10
16.44738266,10.82423619,13.30841314,6.91E-05,5.99E-05,5.53E-05,110428,111671,0.461813077,0.474461503,0.065851722,3.19E-10,2.55E-10
9.6461356,8.147533657,8.70034758,2.76E-05,3.03E-05,3.03E-05,122701,85169,0.096236831,0.069664038,0.007381366,7.59E-11,8.35E-11
10.77088464,9.122741608,9.741819669,1.45E-05,1.16E-05,1.16E-05,120480,72267,0.022852623,0.021961163,0.000278146,4.19E-11,3.35E-11
11.54391332,9.921502627,10.69298385,2.62E-05,2.33E-05,2.33E-05,147195,106901.5,0.031223529,0.016485403,0.001222779,7.62E-11,6.77E-11
10.68188641,9.343253826,9.733088,2.62E-05,2.62E-05,3.06E-05,121426,144925,0.05024745,0.034889929,0.003037685,1.15E-10,1.34E-10
15.41967763,10.70341928,12.00038718,5.70E-05,6.70E-05,6.37E-05,128445,112828,0.310923297,0.198273611,0.089549446,1.91E-10,2.14E-10
11.38715907,8.385098927,9.076477527,1.90E-05,2.22E-05,2.22E-05,102582,82123,0.164799638,0.099371482,0.041969643,6.04E-11,7.04E-11
12.31246027,8.825957591,10.3512615,6.11E-05,6.11E-05,5.43E-05,80709,83038.5,0.339233201,0.405599018,0.041215684,4.15E-10,3.69E-10
10.94670967,8.659433083,9.095284199,2.13E-05,3.56E-05,3.56E-05,30583,30583,0.300939346,0.257663808,0.051015553,1.52E-10,2.53E-10
10.76753583,7.527905375,8.301096913,8.25E-06,8.25E-06,1.10E-05,112583,112583,0.230914848,0.072552431,0.079966566,2.27E-11,3.03E-11
11.5639111,9.272349165,9.95524588,5.18E-06,5.18E-06,5.18E-06,0,0,0.323389348,0.323389348,0,2.69E-11,2.69E-11
14.70834898,9.481225649,10.46689548,6.85E-06,2.06E-05,1.37E-05,0,0,1.1190399,1.1190399,0,4.69E-11,9.39E-11
14.86881454,11.22414671,12.40419747,6.45E-05,6.45E-05,5.99E-05,109087,111049,0.344979251,0.342845262,0.060723454,2.97E-10,2.76E-10
10.28097428,7.830517946,8.518175771,8.27E-06,8.27E-06,8.27E-06,41967,41967.5,0.280208681,0.344915717,0.046783321,2.28E-11,2.28E-11
13.90597989,10.23368741,11.1456099,1.16E-05,1.16E-05,1.16E-05,114873,93825,0.167515597,0.08626109,0.040695142,3.35E-11,3.35E-11
12.75846469,9.580403353,10.58067239,8.73E-06,8.73E-06,5.82E-06,41861,41861,0.103572502,0.13557665,0.006170083,2.54E-11,1.69E-11
11.1046149,9.355612993,10.03968062,1.75E-05,4.37E-06,4.37E-06,142331,120874,0.011446467,0.004809774,0.000202175,7.64E-11,1.91E-11
11.44217721,8.782940701,9.702785395,2.01E-05,2.01E-05,2.35E-05,83304,93954,0.306623432,0.33346769,0.050230229,6.74E-11,7.87E-11
9.670349183,7.589200302,8.281748937,9.52E-06,9.52E-06,9.52E-06,25467,25467,0.145624,0.190596837,0.009812677,3.02E-11,3.02E-11
17.83896925,12.11821815,13.51121973,6.79E-05,6.11E-05,5.43E-05,76962,79359,0.488629563,0.519035049,0.104054804,4.61E-10,3.69E-10
17.68177519,11.76541318,13.57949985,7.12E-05,7.12E-05,7.12E-05,56354,50801,0.21305798,0.221189951,0.02798925,5.06E-10,5.06E-10
8.857871325,8.202812637,8.398487922,1.38E-05,2.75E-05,2.75E-05,95907,97323.5,0.043032458,0.028929238,0.001761798,3.78E-11,7.57E-11
7.611581325,7.170748921,7.31200786,4.15E-05,1.04E-05,1.04E-05,106385,95636,0.001321499,0.000886064,1.05E-06,2.15E-10,5.37E-11
7.896614995,7.430609108,7.60877269,4.11E-05,6.85E-06,6.85E-06,63496,58314,0.003044661,0.001609968,1.60E-05,2.82E-10,4.69E-11
15.50031075,10.23291257,12.81846098,7.84E-05,6.91E-05,6.91E-05,106940,111545.5,0.189374403,0.144481883,0.020676268,3.61E-10,3.19E-10
9.220773965,7.83168521,8.247518628,1.93E-05,1.10E-05,1.10E-05,151981,143598.5,0.068171448,0.100201678,0.003954369,5.32E-11,3.04E-11
10.37276432,9.228913015,9.537241476,2.60E-05,2.89E-05,2.89E-05,120936,124653.5,0.052331559,0.03829112,0.001726649,7.54E-11,8.37E-11
10.19935161,8.487904507,8.955992775,1.45E-05,1.75E-05,1.75E-05,48445,48680.5,0.116763113,0.140960388,0.00376374,4.23E-11,5.08E-11
9.119764392,8.566539627,8.804001406,4.37E-05,2.18E-05,2.62E-05,112686,117058,0.005513048,0.004351952,1.80E-05,1.91E-10,1.15E-10
